tp,xp,yp,area,aspect,angle,normalized_angle,rvec1_frame,rvec2_frame,rvec3_frame,tvec1_frame,tvec2_frame,tvec3_frame
57,767.0876412049979,431.9203404634776,45604.5,1.0,0.21214726567268372,0.21214726567268372,3.0604249476403513,0.004288266529476377,-0.29243680507583275,-51.34954920020323,86.81674721321528,235.3305203638548
57,1405.025010120863,421.3454196527076,53931.5,1.1194690265486726,84.06629943847656,84.06629943847656,3.0604249476403513,0.004288266529476377,-0.29243680507583275,-51.34954920020323,86.81674721321528,235.3305203638548
85,731.7286516723533,439.1606898312559,28722.0,0.8254716981132075,166.46273803710938,13.537261962890625,3.060412542264749,0.004015102568909732,-0.29264738933525924,-51.34120812591182,86.82131748774616,235.32619604539565
85,1411.8307852879782,424.8230431501681,34013.0,1.0,52.89052200317383,52.89052200317383,3.060412542264749,0.004015102568909732,-0.29264738933525924,-51.34120812591182,86.82131748774616,235.32619604539565
1732,1184.801918696406,758.6533078336404,64314.5,1.0182481751824817,146.47027587890625,33.52972412109375,3.060354035141209,0.004169871433294502,-0.292714377169118,-51.33983744234697,86.81415304028405,235.31682866733678
1733,1184.4952664778446,757.80371834376,64258.0,1.0182481751824817,150.5298309326172,29.470169067382812,3.060354035141209,0.004169871433294502,-0.292714377169118,-51.33983744234697,86.81415304028405,235.31682866733678
1734,1184.3511088631235,757.4771846548907,64255.0,1.021978021978022,150.7657928466797,29.234207153320312,3.060419502492407,0.004297277914072359,-0.2924992426833085,-51.35772717545645,86.80770385580045,235.31700822482185
1735,1184.0250562516344,756.6411339915227,64368.5,1.0218978102189782,144.642578125,35.357421875,3.0604407920096532,0.004348241350732506,-0.29267833332384624,-51.34758534921702,86.80531520972984,235.3173643121743
1736,1184.009682806406,755.7372754335739,64272.0,1.0218978102189782,143.02389526367188,36.976104736328125,3.0604407920096532,0.004348241350732506,-0.29267833332384624,-51.34758534921702,86.80531520972984,235.3173643121743
1737,1183.8630565415394,755.1193381437266,64374.5,1.0218978102189782,149.75730895996094,30.242691040039062,3.0604407920096532,0.004348241350732506,-0.29267833332384624,-51.34758534921702,86.80531520972984,235.3173643121743
1738,1183.6652771620923,754.7278048679323,64291.5,1.0218978102189782,145.652099609375,34.347900390625,3.0604407920096532,0.004348241350732506,-0.29267833332384624,-51.34758534921702,86.80531520972984,235.3173643121743
1739,1183.4337436359122,753.9999379113374,64424.0,1.0255474452554745,146.28421020507812,33.715789794921875,3.0604407920096532,0.004348241350732506,-0.29267833332384624,-51.34758534921702,86.80531520972984,235.3173643121743
1740,1183.277387520398,753.0437977568835,64345.0,1.0255474452554745,147.5936279296875,32.4063720703125,3.060288814896307,0.004462593059797905,-0.2928125224399484,-51.343683229939394,86.81827698659546,235.3071293741978
